17/07/2023 21:25:50 mateus Cadastrou -> VC83460 
17/07/2023 21:30:52 mateus Cadastrou -> VC74086 
17/07/2023 21:31:45 mateus Cadastrou -> VC83584 
17/07/2023 21:42:07 Vitor Cadastrou -> VC73692 
17/07/2023 21:42:41 Vitor Cadastrou -> VC83606 
18/07/2023 18:54:25 mateus Cadastrou -> VC74000 
18/07/2023 18:55:09 mateus Cadastrou -> VC83500 
18/07/2023 19:06:08 mateus Cadastrou -> VC73994 
18/07/2023 19:06:55 mateus Cadastrou -> VC83092 
18/07/2023 19:14:23 mateus Cadastrou -> VC74003 
18/07/2023 19:15:04 mateus Cadastrou -> VC83476 
18/07/2023 19:24:22 mateus Cadastrou -> VC74005 
18/07/2023 19:25:15 mateus Cadastrou -> VC83195 
18/07/2023 19:35:36 mateus Cadastrou -> VC74004 
18/07/2023 19:36:09 mateus Cadastrou -> VC83472 
18/07/2023 19:46:48 mateus Cadastrou -> VC73999 
18/07/2023 19:47:41 mateus Cadastrou -> VC83600 
18/07/2023 20:07:30 mateus Cadastrou -> VC73998 
18/07/2023 20:08:06 mateus Cadastrou -> VC83448 
18/07/2023 20:14:36 mateus Cadastrou -> VC74002 
18/07/2023 20:15:28 mateus Cadastrou -> VC83467 
18/07/2023 20:33:25 mateus Cadastrou -> VC73184 
18/07/2023 20:33:58 mateus Cadastrou -> VC83101 
18/07/2023 21:08:48 mateus Cadastrou -> VC73700 
18/07/2023 21:09:28 mateus Cadastrou -> VC83091 
18/07/2023 21:11:21 mateus Cadastrou -> VC73229 
18/07/2023 21:11:54 mateus Cadastrou -> VC83198 
18/07/2023 21:33:31 mateus Cadastrou -> VC73133 
18/07/2023 21:34:07 mateus Cadastrou -> VC83223 
18/07/2023 21:34:50 mateus Cadastrou -> VC73997 
18/07/2023 21:35:19 mateus Cadastrou -> VC83182 
18/07/2023 21:36:24 mateus Cadastrou -> VC73136 
18/07/2023 21:37:01 mateus Cadastrou -> VC83161 
18/07/2023 21:37:38 mateus Cadastrou -> VC73134 
18/07/2023 21:38:32 mateus Cadastrou -> VC175 
19/07/2023 13:36:49 Vitor Cadastrou -> VC73696 
19/07/2023 13:37:44 Vitor Cadastrou -> VC83461 
19/07/2023 13:44:41 Vitor Cadastrou -> VC73693 
19/07/2023 13:45:25 Vitor Cadastrou -> VC83595 
19/07/2023 13:53:02 Vitor Cadastrou -> VC74047 
19/07/2023 13:53:47 Vitor Cadastrou -> VC83607 
19/07/2023 14:00:08 Vitor Cadastrou -> VC74052 
19/07/2023 14:00:55 Vitor Cadastrou -> VC83097 
19/07/2023 14:05:39 Vitor Cadastrou -> VC73420 
19/07/2023 14:06:15 Vitor Cadastrou -> VC83215 
19/07/2023 14:09:44 Vitor Cadastrou -> VC73807 
19/07/2023 14:10:29 Vitor Cadastrou -> VC83109 
19/07/2023 14:14:35 Vitor Cadastrou -> VC73222 
19/07/2023 14:15:08 Vitor Cadastrou -> VC83506 
19/07/2023 14:22:37 Vitor Cadastrou -> VC73114 
19/07/2023 14:23:10 mateus Cadastrou -> VC73661 
19/07/2023 14:23:20 Vitor Cadastrou -> VC83095 
19/07/2023 14:23:51 mateus Cadastrou -> VC83505 
19/07/2023 14:26:12 mateus Cadastrou -> VC73663 
19/07/2023 14:26:47 mateus Cadastrou -> VC83592 
19/07/2023 14:35:14 mateus Cadastrou -> VC73662 
19/07/2023 14:35:51 mateus Cadastrou -> VC83498 
19/07/2023 14:37:03 Vitor Cadastrou -> VC73892 
19/07/2023 14:37:55 Vitor Cadastrou -> VC83188 
19/07/2023 14:38:10 mateus Cadastrou -> VC73664 
19/07/2023 14:47:50 mateus Cadastrou -> VC83483 
19/07/2023 14:55:21 mateus Cadastrou -> VC73665 
19/07/2023 14:55:50 mateus Cadastrou -> VC83610 
19/07/2023 15:06:42 Vitor Cadastrou -> VC73368 
19/07/2023 15:07:20 Vitor Cadastrou -> VC83405 
19/07/2023 15:15:09 Vitor Cadastrou -> VC73113 
19/07/2023 15:15:47 Vitor Cadastrou -> VC83155 
19/07/2023 15:20:35 Vitor Cadastrou -> VC73116 
19/07/2023 15:21:35 Vitor Cadastrou -> VC83176 
19/07/2023 15:29:45 mateus Cadastrou -> VC73553 
19/07/2023 15:30:23 mateus Cadastrou -> VC83228 
19/07/2023 15:55:02 mateus Cadastrou -> VC73554 
19/07/2023 15:55:41 mateus Cadastrou -> VC83243 
19/07/2023 16:03:22 mateus Cadastrou -> VC73970 
19/07/2023 16:04:21 mateus Cadastrou -> VC83496 
19/07/2023 16:13:55 Vitor Cadastrou -> VC73110 
19/07/2023 16:15:28 Vitor Cadastrou -> VC83162 
19/07/2023 16:19:13 mateus Cadastrou -> VC73973 
19/07/2023 16:19:43 Vitor Cadastrou -> VC73117 
19/07/2023 16:20:12 Vitor Cadastrou -> VC83100 
19/07/2023 16:20:35 mateus Cadastrou -> VC83475 
19/07/2023 16:24:51 Vitor Cadastrou -> VC83459 
19/07/2023 16:28:29 mateus Cadastrou -> VC73694 
19/07/2023 16:30:29 mateus Cadastrou -> VC83478 
19/07/2023 16:35:06 mateus Cadastrou -> VC73401 
19/07/2023 16:36:55 mateus Cadastrou -> VC83152 
19/07/2023 18:11:29 Vitor Cadastrou -> VC73789 
19/07/2023 18:12:17 Vitor Cadastrou -> VC83102 
19/07/2023 18:13:16 Renato Cadastrou -> VC83201 
19/07/2023 18:19:08 Vitor Cadastrou -> VC74126 
19/07/2023 18:20:46 Vitor Cadastrou -> VC83121 
19/07/2023 18:26:15 Vitor Cadastrou -> VC73757 
19/07/2023 18:27:04 Vitor Cadastrou -> VC83112 
19/07/2023 18:33:22 Vitor Cadastrou -> VC74025 
19/07/2023 18:34:04 Vitor Cadastrou -> VC83169 
19/07/2023 18:39:07 Vitor Cadastrou -> VC73974 
19/07/2023 18:40:00 Vitor Cadastrou -> VC83679 
19/07/2023 18:54:22 Vitor Cadastrou -> VC73691 
